Record ID#,English Name,Official Name,Operator (primary),Operator (additional),Type,Seasonality,Status,Year Established,Antarctic Region,Latitude (DD),Longitude (DD),Latitude (DDM),Longitude (DDM),Elevation (meters),Elevation Datum,Peak Population,Power Supply Types,Photo URL,Webcam URL,Date Modified
68,Bellingshausen,Bellingshausen,Russia,,Station,Year-Round,Open,1968,,-62.198184,-58.960609,62° 11.891' S,58° 57.6365' W,16,MSL,40,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r68/e56/v0/Bellingshausen01%20.jpg,,9/14/2023 6:36
108,Bunger Oasis,Bunger Oasis,Russia,,Station,Seasonal,Open,,,-66.266667,100.733333,66° 16' S,100° 44' E,29,,15,Fossil Fuel,,,1/21/2022 0:28
69,Druzhnaya IV,Druzhnaya IV,Russia,,Station,Seasonal,Open,,,-69.747827,73.709214,69° 44.8696' S,73° 42.5528' E,20,MSL,50,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r69/e56/v0/Druzhnaya%20IV_AARI-RAE_2006.jpg,,9/14/2023 6:18
70,Leningradskaya,Leningradskaya,Russia,,Station,Seasonal,Open,1971,,-69.501496,159.391148,69° 30.0898' S,159° 23.4689' E,300,MSL,10,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r70/e56/v0/Leningradskaya_AARI-RAE_2014.jpg,,9/14/2023 6:21
71,Mirny,Mirny,Russia,,Station,Year-Round,Open,1956,,-66.553181,93.009559,66° 33.1909' S,93° 0.5735' E,35,MSL,50,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r71/e56/v0/Mirny01.jpg,,9/14/2023 6:36
72,Molodezhnaya,Molodezhnaya,Russia,,Station,Seasonal,Open,1963,,-67.665443,45.842038,67° 39.9266' S,45° 50.5223' E,40,MSL,15,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r72/e56/v0/Molodezhnaya_AARI-RAE_2014.jpg,,9/14/2023 6:19
76,Novolazarevskaya,Novolazarevskaya,Russia,,Station,Year-Round,Open,1961,,-70.775796,11.832151,70° 46.5478' S,11° 49.9291' E,102,MSL,70,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r76/e56/v0/Novolazarevskaya01.jpg,,9/14/2023 6:37
77,Progress,Progress,Russia,,Station,Year-Round,Open,1989,,-69.37795,76.388247,69° 22.677' S,76° 23.2948' E,15,MSL,50,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r77/e56/v0/Progress.jpg,,9/14/2023 6:37
78,Russkaya,Russkaya,Russia,,Station,Seasonal,Open,1980,,-74.765726,-136.800072,74° 45.9436' S,136° 48.0043' W,126,MSL,10,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r78/e56/v0/Russkaya_AARI-RAE_2014.jpg,,9/14/2023 6:20
79,Soyuz,Soyuz,Russia,,Station,Seasonal,Temporarily Closed,1982,East Antarctica,-70.576577,68.794937,70° 34.5946' S,68° 47.6962' E,336,MSL,30,Fossil Fuel,,,9/14/2023 6:21
80,Vostok,Vostok,Russia,,Station,Year-Round,Open,1957,,-78.464182,106.836882,78° 27.8509' S,106° 50.2129' E,"3,488",MSL,30,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r80/e56/v0/Vostok01.jpg,,9/14/2023 6:37
81,SANAE IV,SANAE IV,South Africa,,Station,Year-Round,Open,1962,Dronning Maud Land,-71.672873,-2.840324,71° 40.3724' S,2° 50.4194' W,850,MSL,80,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r81/e56/v0/SANAE%20BASE.jpg,,3/15/2021 15:43
232,SANAP Summer Station ,SANAP Summer Station ,South Africa,,Station,Seasonal,Open,2010,,-70.6499974,-8.249999,70° 38.9998' S,8° 14.9999' W,,,20,,,,4/25/2018 20:58
82,Gabriel de Castilla Station,Gabriel de Castilla Station,Spain,,Station,Seasonal,Open,1990,Antarctic Peninsula,-62.97719656,-60.67574545,62° 58.6318' S,60° 40.5447' W,15,MSL,36,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r82/e56/v0/Gabriel%20de%20Castilla_station_aerial_view_2_Gabriel%20Gollanes_15_12_22.jpg,,10/29/2023 16:28
110,International Field Camp Peninsula Byers,International Field Camp Peninsula Byers,Spain,,Camp,Seasonal,Open,2001,Antarctic Peninsula,-62.663772,-61.099436,62° 39.8263' S,61° 5.9662' W,10,MSL,12,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r110/e56/v0/Byers_camp_overview_UTM.JPG,,7/30/2020 18:25
83,Juan Carlos I,Juan Carlos I Station ,Spain,,Station,Seasonal,Open,1988,Antarctic Peninsula,-62.66340863,-60.38814603,62° 39.8045' S,60° 23.2888' W,12,MSL,50,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r83/e56/v0/JuanCarlosI_station_Felipe_14_11_30.JPG,,10/14/2021 5:36
84,Svea,Svea,Sweden,,Refuge,Seasonal,Temporarily Closed,,,-74.576061,-11.224872,74° 34.5637' S,11° 13.4923' W,,,,,,,2/4/2021 22:14
85,Wasa,Wasa,Sweden,,Station,Seasonal,Temporarily Closed,1989,,-73.042799,-13.41291,73° 2.5679' S,13° 24.7746' W,440,WGS84,10,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r85/e56/v0/Wasa%20station%20Sweden.jpg,,4/1/2024 23:14
237,Turkish Scientific Research Camp, Turkish Scientific Research Camp,Türkiye,,Camp,Seasonal,Open,2019,Antarctic Peninsula,-67.82965,-67.237747,67° 49.779' S,67° 14.2648' W,4,MSL,20,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r237/e56/v0/Turkish_Sci_Res_Camp_2020.jpeg,,4/5/2023 0:43
86,Vernadsky,Vernadsky,Ukraine,,Station,Year-Round,Open,1996,Antarctic Peninsula,-65.24574295,-64.25748123,65° 14.7446' S,64° 15.4489' W,7,MSL,24,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r86/e56/v0/Vernadsky_general_view_Pishniak_2012.JPG,,3/14/2021 21:21
87,Fossil Bluff,Fossil Bluff,United Kingdom,,Depot,Seasonal,Open,1961,Antarctic Peninsula,-71.323412,-68.289064,71° 19.4047' S,68° 17.3438' W,92,WGS84,6,Fossil Fuel,,,7/28/2022 12:23
90,Halley VI,Halley VI,United Kingdom,,Station,Seasonal,Open,1956,,-75.571111,-25.473889,75° 34.2667' S,25° 28.4333' W,37,WGS84,,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r90/e56/v0/BAS-10011257.jpg,https://www.bas.ac.uk/polar-operations/sites-and-facilities/facility/halley/,7/28/2022 12:30
91,Rothera,Rothera Research Station,United Kingdom,,Station,Year-Round,Open,1975,Antarctic Peninsula,-67.569529,-68.124888,67° 34.1717' S,68° 7.4933' W,16,WGS84,136,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r91/e56/v0/Rothera%20Station_BAS.jpg,https://www.bas.ac.uk/polar-operations/sites-and-facilities/facility/rothera/,7/28/2022 12:41
92,Signy,Signy Station ,United Kingdom,,Station,Seasonal,Open,1947,,-60.70828739,-45.59538916,60° 42.4972' S,45° 35.7233' W,5,WGS84,8,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r92/e56/v0/Signy_HRES.jpg,,7/28/2022 12:44
89,Sky Blu,Sky Blu,United Kingdom,,Depot,Seasonal,Open,,Antarctic Peninsula,-74.856351,-71.5852,74° 51.3811' S,71° 35.112' W,"1,400",WGS84,6,Fossil Fuel;Renewable,,,7/28/2022 12:23
2,Amundsen-Scott South Pole,Amundsen-Scott South Pole Station,United States,,Station,Year-Round,Open,1957,,-89.983333,142.266667,89° 59' S,142° 16' E,"2,830",WGS84,153,Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r2/e56/v0/south-pole-station.jpg,https://www.usap.gov/videoClipsAndMaps/spwebcam.cfm,8/30/2023 4:39
99,Byrd Surface,Byrd Surface Camp,United States,,Camp,Seasonal,Temporarily Closed,,,-80.013894,-119.561353,80° 0.8336' S,119° 33.6812' W,,,0,,,,8/21/2023 9:41
95,Marble Point Refueling Facility,Marble Point Refueling Facility,United States,,Depot,Seasonal,Open,,,-77.4333316,163.83333,77° 25.9999' S,163° 49.9998' E,,,,,,,8/30/2023 5:24
1,McMurdo,McMurdo Station,United States,,Station,Year-Round,Open,1956,,-77.85,166.666667,77° 51' S,166° 40' E,10,MSL,"1,200",Fossil Fuel;Renewable,https://comnap.quickbase.com/up/bibrbwkpg/a/r1/e56/v0/MCMURDO8.JPG,https://www.usap.gov/videoclipsandmaps/mcmwebcam.cfm,9/29/2023 4:01
3,Palmer,Palmer Station,United States,,Station,Year-Round,Open,1965,,-64.774167,-64.053056,64° 46.45' S,64° 3.1834' W,10,MSL,46,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r3/e56/v0/Palmer_Station_Hood_14-10-09.jpg,https://www.usap.gov/videoClipsAndMaps/palwebcam.cfm,8/30/2023 5:27
111,Siple Dome,Siple Dome,United States,,Camp,Seasonal,Open,1973,,-81.666667,-149.016667,81° 40' S,149° 1' W,,,10,,,,8/30/2023 5:30
114,WAIS Divide,WAIS Divide Camp,United States,,Camp,Seasonal,Open,2005,,-79.483333,-112.083333,79° 29' S,112° 5' W,,,40,,https://comnap.quickbase.com/up/bibrbwkpg/a/r114/e56/v0/WSD%20aerial%20camp%20labeled%2015-16.jpg,,8/30/2023 5:13
93,Artigas,Artigas Station,Uruguay,,Station,Year-Round,Open,1984,,-62.184551,-58.902442,62° 11.0731' S,58° 54.1465' W,17,MSL,50,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r93/e56/v0/BCAA%20PICTURE%201.jpg,,4/22/2022 7:56
94,Ruperto Elichiribehety,Ruperto Elichiribehety Station,Uruguay,,Station,Seasonal,Open,1997,,-63.402372,-56.990907,63° 24.1423' S,56° 59.4544' W,28,MSL,8,Fossil Fuel,https://comnap.quickbase.com/up/bibrbwkpg/a/r94/e56/v0/Ruperto%20Station%2C%20IAU.JPG,,3/23/2022 10:28
